yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
186772022,18677,2022,TN0820800,TN0820800,,N,N,,I,NE STATE COMMUNITY COLL,NE ST TECH COMM COLLEGE CAMPUS POLICE DEPT,Northeast State Community College,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,University or College,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,2,0,2,0,0,1996-07-01,2005-09-01,2005-11-01,2013-01-01,2015-06-01,2013-04-01,N,SULLIVAN,"Kingsport-Bristol, TN-VA",Y,Y,Y
186802022,18680,2022,TN0830000,TN0830000,,N,N,,I,SUMNER,SUMNER CO SO GALLATIN,Sumner,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,57794,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,121,90,211,12,57,69,2.3,4.8,1996-07-01,1999-04-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SUMNER,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186812022,18681,2022,TN0830100,TN0830100,,N,N,,I,GALLATIN,GALLATIN PD,Gallatin,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,49220,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,76,1,77,8,11,19,1.7,2.0,1996-07-01,1999-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SUMNER,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186822022,18682,2022,TN0830200,TN0830200,,N,N,,I,PORTLAND,PORTLAND PD,Portland,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,13460,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,0,34,1,4,5,2.6,2.9,1996-07-01,1998-08-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,"ROBERTSON, SUMNER","Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186832022,18683,2022,TN0830300,TN0830300,,N,N,,I,WHITE HOUSE,WHITE HOUSE PD,White House,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,14290,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,18,4,22,1,4,5,1.3,1.9,1996-07-01,1997-02-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,"ROBERTSON, SUMNER","Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186842022,18684,2022,TN0830400,TN0830400,,N,N,,I,HENDERSONVILLE,HENDERSONVILLE PD,Hendersonville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,62475,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,123,5,128,13,11,24,2.2,2.4,1996-07-01,1999-06-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SUMNER,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186852022,18685,2022,TN0830500,TN0830500,,N,N,,I,WESTMORELAND,WESTMORELAND PD,Westmoreland,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,2740,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,2,1,3,4.4,4.7,1996-07-01,1997-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SUMNER,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186862022,18686,2022,TN0830600,TN0830600,,N,N,,I,MILLERSVILLE,MILLERSVILLE POLICE DEPARTMENT,Millersville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,6239,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,1,3,4,2.2,2.7,1996-07-01,1997-11-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,"ROBERTSON, SUMNER","Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186872022,18687,2022,TN0830700,TN0830700,,N,N,,I,DTF:18TH JUDICIAL DISTRI,SUMNER COUNTY DRUG TASK FORCE GALLATIN,Drug Task Force:,18th Judicial District,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,1,1,2,0,0,1996-07-01,1998-06-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SUMNER,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186892022,18689,2022,TN0830900,TN0830900,,N,N,,I,VOLUNTEER STATE COMM COL,VOLUNTEER ST COMM COLLEGE SAFETY & SEC GALLATIN,Volunteer State Community College,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,University or College,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,7,1,8,2,1,3,0,0,1996-07-01,1997-11-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SUMNER,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
